Month,Type,term,value
August,poly,r2,0.78
August,poly,slope,0.8
July,poly,r2,0.46
July,poly,slope,0.68
June,poly,r2,0.58
June,poly,slope,1.17
September,poly,r2,0.78
September,poly,slope,0.8
August,sin,r2,0.64
August,sin,slope,0.62
July,sin,r2,0.4
July,sin,slope,0.54
June,sin,r2,0.55
June,sin,slope,1.16
September,sin,r2,0.45
September,sin,slope,0.5
August,spline,r2,0.77
August,spline,slope,0.84
July,spline,r2,0.41
July,spline,slope,0.59
June,spline,r2,0.56
June,spline,slope,1.19
September,spline,r2,0.8
September,spline,slope,0.86
