"ColumnID","elevNorth","elevSouth","cdemNorth","cdemSouth"
26227,252,251,253,253
26227,251,257,253,253
26227,257,258,253,252
13836,510,513,503,503
13836,513,517,503,504
13836,517,514,504,504
34882,471,469,482,480
34882,469,475,480,473
34882,475,464,473,464
17207,558,558,574,572
17207,558,578,572,571
17207,578,577,571,570
7692,677,644,649,633
7692,644,609,633,615
7692,609,595,615,609
34278,447,444,455,455
34278,444,451,455,453
34278,451,449,453,452
17423,540,540,561,561
17423,540,555,561,561
17423,555,556,561,560
25831,271,272,279,279
25831,272,284,279,279
25831,284,284,279,280
31602,362,359,372,371
31602,359,376,371,372
31602,376,370,372,373
10266,734,725,777,774
10266,725,723,774,772
10266,723,713,772,771
7930,704,708,734,740
7930,708,729,740,747
7930,729,748,747,754
17901,471,471,486,486
17901,471,489,486,486
17901,489,488,486,486
7859,735,731,732,730
7859,731,752,730,728
7859,752,751,728,726
6237,840,845,852,852
6237,845,869,852,857
6237,869,869,857,863
19630,599,594,589,589
19630,594,602,589,588
19630,602,600,588,587
11672,888,889,882,873
11672,889,900,873,863
11672,900,893,863,852
2577,806,811,807,808
2577,811,832,808,809
2577,832,836,809,809
19581,593,602,583,583
19581,602,601,583,585
19581,601,601,585,586
32391,454,454,469,468
32391,454,463,468,465
32391,463,463,465,461
28202,210,207,230,229
28202,207,223,229,229
28202,223,224,229,228
3470,768,777,824,809
3470,777,812,809,799
3470,812,807,799,799
33353,463,463,520,516
33353,463,507,516,509
33353,507,507,509,503
33585,480,480,496,496
33585,480,494,496,497
33585,494,494,497,498
15422,439,440,452,453
15422,440,455,453,454
15422,455,455,454,454
19050,589,587,608,609
19050,587,611,609,608
19050,611,612,608,609
29951,318,317,335,333
29951,317,326,333,330
29951,326,325,330,327
266,1557,1580,1609,1624
266,1580,1569,1624,1628
266,1569,1563,1628,1618
2216,1095,1070,1069,1059
2216,1070,1060,1059,1047
2216,1060,1043,1047,1034
10771,970,979,981,981
10771,979,1007,981,977
10771,1007,1004,977,973
9889,940,928,905,905
9889,928,946,905,911
9889,946,946,911,916
12659,447,438,456,454
12659,438,444,454,450
12659,444,443,450,444
4628,1054,1065,1060,1071
4628,1065,1065,1071,1081
4628,1065,1068,1081,1090
12367,529,546,498,501
12367,546,552,501,506
12367,552,553,506,510
925,752,745,872,848
925,745,765,848,822
925,765,758,822,795
21995,289,288,279,281
21995,288,301,281,289
21995,301,301,289,296
34585,438,435,457,456
34585,435,442,456,452
34585,442,442,452,448
32554,470,480,485,487
32554,480,487,487,489
32554,487,485,489,490
16050,494,493,508,507
16050,493,512,507,506
16050,512,511,506,505
11207,905,905,906,905
11207,905,916,905,902
11207,916,915,902,900
6082,1009,1020,1024,1049
6082,1020,1053,1049,1064
6082,1053,1059,1064,1068
547,1556,1610,1553,1599
547,1610,1684,1599,1649
547,1684,1719,1649,1699
28905,255,250,262,264
28905,250,254,264,268
28905,254,262,268,271
34524,433,429,455,454
34524,429,442,454,451
34524,442,442,451,448
28795,279,280,280,280
28795,280,293,280,280
28795,293,289,280,281
9747,1015,1010,1007,1002
9747,1010,1006,1002,997
9747,1006,1004,997,990
8348,804,807,792,793
8348,807,831,793,796
8348,831,845,796,798
30225,324,320,334,334
30225,320,333,334,334
30225,333,334,334,334
21497,323,322,327,327
21497,322,331,327,327
21497,331,333,327,326
17739,516,514,526,526
17739,514,532,526,525
17739,532,531,525,525
6146,923,914,1000,1014
6146,914,915,1014,1028
6146,915,914,1028,1043
47,1695,1746,1783,1806
47,1746,1787,1806,1806
47,1787,1795,1806,1790
15707,464,458,475,474
15707,458,473,474,473
15707,473,472,473,472
23905,298,302,307,307
23905,302,313,307,307
23905,313,314,307,308
20486,700,699,709,709
20486,699,714,709,709
20486,714,717,709,710
34463,447,446,466,464
34463,446,462,464,463
34463,462,461,463,461
11233,931,942,938,939
11233,942,935,939,938
11233,935,951,938,940
30529,358,365,394,394
30529,365,377,394,395
30529,377,380,395,395
22728,293,293,285,286
22728,293,295,286,285
22728,295,295,285,284
31825,389,384,411,410
31825,384,403,410,409
31825,403,407,409,408
16402,573,573,583,582
16402,573,588,582,581
16402,588,585,581,580
19531,594,596,609,609
19531,596,610,609,608
19531,610,610,608,607
6917,878,875,861,861
6917,875,881,861,861
6917,881,881,861,861
20824,725,730,740,740
20824,730,743,740,739
20824,743,743,739,737
33609,476,473,496,496
33609,473,494,496,497
33609,494,494,497,498
31910,413,426,424,421
31910,426,425,421,421
31910,425,421,421,422
35275,456,447,459,459
35275,447,461,459,461
35275,461,463,461,463
9201,760,759,753,757
9201,759,755,757,759
9201,755,747,759,759
22978,284,285,285,285
22978,285,292,285,286
22978,292,291,286,286
25673,272,272,275,275
25673,272,278,275,277
25673,278,277,277,278
6122,920,931,931,936
6122,931,960,936,940
6122,960,970,940,945
914,811,811,976,954
914,811,821,954,929
914,821,815,929,905
10851,941,943,914,913
10851,943,950,913,913
10851,950,959,913,914
19318,612,607,616,617
19318,607,617,617,619
19318,617,619,619,621
27441,188,184,182,182
27441,184,202,182,183
27441,202,203,183,184
17915,468,469,486,487
17915,469,489,487,487
17915,489,489,487,487
22521,298,300,303,303
22521,300,310,303,304
