ColumnID,elevNorth,elevSouth,cdemNorth,cdemSouth
10,1641,1616,1552,1540
10,1616,1585,1540,1543
10,1585,1574,1543,1550
14,1618,1588,1651,1638
14,1588,1567,1638,1618
14,1567,1563,1618,1602
28,1503,1536,1533,1537
28,1536,1595,1537,1541
28,1595,1602,1541,1547
39,1259,1295,1220,1250
39,1295,1353,1250,1280
39,1353,1379,1280,1309
44,1149,1180,1096,1128
44,1180,1241,1128,1161
44,1241,1262,1161,1193
60,1198,1175,1046,1051
60,1175,1146,1051,1064
60,1146,1140,1064,1081
68,1360,1324,1183,1192
68,1324,1299,1192,1227
68,1299,1304,1227,1261
70,1400,1359,1215,1212
70,1359,1327,1212,1242
70,1327,1340,1242,1290
79,1582,1506,1356,1367
79,1506,1482,1367,1402
79,1482,1496,1402,1452
99,1872,1902,1858,1864
99,1902,1933,1864,1873
99,1933,1918,1873,1879
130,1853,1915,1828,1846
130,1915,1936,1846,1853
130,1936,1906,1853,1847
146,1573,1576,1564,1544
146,1576,1563,1544,1520
146,1563,1556,1520,1496
148,1510,1508,1495,1479
148,1508,1504,1479,1461
148,1504,1497,1461,1444
184,1689,1673,1835,1811
184,1673,1661,1811,1736
184,1661,1624,1736,1637
191,1483,1436,1624,1520
191,1436,1433,1520,1439
191,1433,1436,1439,1384
199,1290,1262,1355,1287
199,1262,1183,1287,1222
199,1183,1176,1222,1176
206,1060,1023,1162,1104
206,1023,1011,1104,1050
206,1011,996,1050,1008
207,1021,989,1129,1080
207,989,985,1080,1030
207,985,973,1030,987
231,653,654,733,733
231,654,662,733,730
231,662,662,730,727
249,816,819,783,788
249,819,828,788,791
249,828,831,791,793
260,1025,1036,1018,1033
260,1036,1051,1033,1042
260,1051,1057,1042,1050
263,1095,1109,1084,1103
263,1109,1124,1103,1118
263,1124,1129,1118,1131
270,1261,1284,1242,1269
270,1284,1306,1269,1292
270,1306,1321,1292,1313
284,1608,1668,1667,1703
284,1668,1720,1703,1722
284,1720,1714,1722,1730
286,1659,1715,1749,1786
286,1715,1770,1786,1799
286,1770,1772,1799,1788
288,1721,1763,1813,1826
288,1763,1784,1826,1819
288,1784,1788,1819,1796
293,1753,1715,1831,1788
293,1715,1653,1788,1733
293,1653,1650,1733,1690
318,1224,1261,1320,1325
318,1261,1317,1325,1314
318,1317,1307,1314,1292
332,796,796,892,874
332,796,835,874,858
332,835,840,858,845
340,682,679,717,699
340,679,701,699,714
340,701,709,714,748
353,659,655,711,711
353,655,660,711,727
353,660,660,727,749
354,657,653,711,711
354,653,660,711,727
354,660,660,727,749
360,655,654,711,711
360,654,660,711,727
360,660,660,727,749
361,656,655,711,711
361,655,660,711,727
361,660,660,727,749
404,1015,1057,1226,1213
404,1057,1095,1213,1202
404,1095,1086,1202,1192
405,1034,1079,1227,1215
405,1079,1120,1215,1205
405,1120,1113,1205,1198
409,1112,1140,1228,1219
409,1140,1199,1219,1213
409,1199,1203,1213,1211
413,1190,1190,1226,1219
413,1190,1216,1219,1218
413,1216,1223,1218,1222
415,1208,1203,1222,1216
415,1203,1214,1216,1213
415,1214,1221,1213,1216
418,1194,1196,1222,1217
418,1196,1217,1217,1215
418,1217,1222,1215,1217
426,1134,1131,1204,1194
426,1131,1183,1194,1186
426,1183,1195,1186,1184
487,1367,1324,1399,1391
487,1324,1333,1391,1381
487,1333,1344,1381,1370
494,1488,1457,1490,1501
494,1457,1495,1501,1511
494,1495,1510,1511,1520
495,1505,1482,1495,1506
495,1482,1511,1506,1514
495,1511,1527,1514,1521
497,1536,1530,1508,1519
497,1530,1534,1519,1528
497,1534,1542,1528,1535
517,1690,1670,1683,1670
517,1670,1610,1670,1651
517,1610,1589,1651,1624
526,1521,1556,1602,1592
526,1556,1609,1592,1579
526,1609,1584,1579,1562
534,1401,1409,1384,1375
534,1409,1419,1375,1374
534,1419,1409,1374,1374
535,1386,1391,1371,1363
535,1391,1397,1363,1361
535,1397,1388,1361,1360
547,1488,1480,1390,1386
547,1480,1429,1386,1385
547,1429,1402,1385,1382
549,1534,1522,1428,1415
549,1522,1471,1415,1402
549,1471,1432,1402,1390
561,1290,1280,1372,1361
561,1280,1279,1361,1348
561,1279,1272,1348,1335
569,1338,1329,1337,1328
569,1329,1338,1328,1329
569,1338,1346,1329,1333
582,1540,1559,1473,1502
582,1559,1538,1502,1523
582,1538,1525,1523,1534
586,1453,1515,1387,1432
586,1515,1591,1432,1474
586,1591,1593,1474,1507
591,1354,1419,1267,1325
591,1419,1493,1325,1369
591,1493,1515,1369,1394
598,1240,1274,1140,1173
598,1274,1313,1173,1200
598,1313,1348,1200,1231
602,1164,1193,1085,1126
602,1193,1272,1126,1172
602,1272,1307,1172,1214
605,1110,1132,1049,1086
