"ColumnID","elevNorth","elevSouth","cdemNorth","cdemSouth"
5170,1691,1706,1754,1758
5170,1706,1746,1758,1765
5170,1746,1760,1765,1774
33915,468,466,479,479
33915,466,479,479,481
33915,479,480,481,483
9477,656,651,652,651
9477,651,650,651,652
9477,650,646,652,653
10322,640,642,618,617
10322,642,663,617,618
10322,663,656,618,618
48828,NA,NA,NA,NA
48828,NA,NA,NA,NA
48828,NA,NA,NA,NA
22463,300,300,303,303
22463,300,309,303,303
22463,309,309,303,304
5397,1310,1334,1492,1465
5397,1334,1365,1465,1414
5397,1365,1374,1414,1397
48788,NA,NA,NA,NA
48788,NA,NA,NA,NA
48788,NA,NA,NA,NA
43679,NA,NA,NA,NA
43679,NA,NA,NA,NA
43679,NA,NA,NA,NA
19321,609,609,616,616
19321,609,613,616,619
19321,613,614,619,621
28594,226,214,218,219
28594,214,217,219,221
28594,217,217,221,224
22143,285,283,292,293
22143,283,301,293,296
22143,301,301,296,299
13932,510,517,507,509
13932,517,521,509,511
13932,521,528,511,512
7972,769,786,741,743
7972,786,798,743,747
7972,798,804,747,751
35113,446,450,459,463
35113,450,481,463,467
35113,481,488,467,471
29965,339,335,339,337
29965,335,340,337,336
29965,340,344,336,335
29168,302,295,305,304
29168,295,302,304,304
29168,302,305,304,305
27397,187,184,181,182
27397,184,197,182,183
27397,197,197,183,184
43841,NA,NA,NA,NA
43841,NA,NA,NA,NA
43841,NA,NA,NA,NA
29048,303,301,317,317
29048,301,312,317,316
29048,312,311,316,314
20746,733,723,737,737
20746,723,742,737,737
20746,742,743,737,737
2798,990,977,987,987
2798,977,996,987,986
2798,996,988,986,982
8719,548,552,587,586
8719,552,579,586,575
8719,579,575,575,563
31648,367,364,384,383
31648,364,374,383,383
31648,374,375,383,382
31377,355,355,409,419
31377,355,365,419,417
31377,365,361,417,400
41826,NA,NA,NA,NA
41826,NA,NA,NA,NA
41826,NA,NA,NA,NA
958,658,657,711,709
958,657,660,709,696
958,660,660,696,683
38840,NA,NA,NA,NA
38840,NA,NA,NA,NA
38840,NA,NA,NA,NA
15556,446,443,455,455
15556,443,460,455,456
15556,460,460,456,456
36992,NA,NA,NA,NA
36992,NA,NA,NA,NA
36992,NA,NA,NA,NA
1218,991,981,1046,1029
1218,981,987,1029,1010
1218,987,977,1010,992
32931,427,433,447,449
32931,433,451,449,450
32931,451,453,450,452
57103,NA,NA,NA,NA
57103,NA,NA,NA,NA
57103,NA,NA,NA,NA
10035,726,724,749,748
10035,724,740,748,740
10035,740,739,740,731
17685,531,529,546,546
17685,529,549,546,546
17685,549,550,546,546
31542,352,338,372,367
31542,338,367,367,365
31542,367,370,365,365
27778,199,196,219,218
27778,196,211,218,218
27778,211,210,218,218
21127,695,700,700,701
21127,700,704,701,701
21127,704,698,701,701
59292,NA,NA,NA,NA
59292,NA,NA,NA,NA
59292,NA,NA,NA,NA
6140,894,884,910,910
6140,884,910,910,909
6140,910,910,909,909
53338,NA,NA,NA,NA
53338,NA,NA,NA,NA
53338,NA,NA,NA,NA
3650,1095,1096,1136,1125
3650,1096,1122,1125,1115
3650,1122,1123,1115,1111
41687,NA,NA,NA,NA
41687,NA,NA,NA,NA
41687,NA,NA,NA,NA
25612,275,278,280,280
25612,278,282,280,280
25612,282,282,280,280
36730,NA,NA,NA,NA
36730,NA,NA,NA,NA
36730,NA,NA,NA,NA
59299,NA,NA,NA,NA
59299,NA,NA,NA,NA
59299,NA,NA,NA,NA
58477,NA,NA,NA,NA
58477,NA,NA,NA,NA
58477,NA,NA,NA,NA
52823,NA,NA,NA,NA
52823,NA,NA,NA,NA
52823,NA,NA,NA,NA
29121,302,302,311,311
29121,302,306,311,310
29121,306,307,310,308
19303,602,599,616,616
19303,599,613,616,619
19303,613,613,619,621
30496,389,385,399,400
30496,385,397,400,400
30496,397,398,400,399
54629,NA,NA,NA,NA
54629,NA,NA,NA,NA
54629,NA,NA,NA,NA
56376,NA,NA,NA,NA
56376,NA,NA,NA,NA
56376,NA,NA,NA,NA
50494,NA,NA,NA,NA
50494,NA,NA,NA,NA
50494,NA,NA,NA,NA
51084,NA,NA,NA,NA
51084,NA,NA,NA,NA
51084,NA,NA,NA,NA
448,680,745,763,792
448,745,865,792,823
448,865,882,823,852
41876,NA,NA,NA,NA
41876,NA,NA,NA,NA
41876,NA,NA,NA,NA
9723,1096,1090,1097,1091
9723,1090,1082,1091,1082
9723,1082,1078,1082,1071
29613,309,318,328,332
29613,318,331,332,334
29613,331,334,334,335
18061,438,438,455,455
18061,438,462,455,456
18061,462,461,456,457
12326,695,713,629,633
12326,713,717,633,636
12326,717,715,636,638
46326,NA,NA,NA,NA
46326,NA,NA,NA,NA
46326,NA,NA,NA,NA
56954,NA,NA,NA,NA
